T1;user1;50000.0;2025-11-21T22:30:12.658702900;true
T2;budi;100000.0;2025-11-22T19:17:14.679396400;true
T3;budi;70000.0;2025-11-23T12:37:20.351173300;true
T4;budi;40000.0;2025-11-23T13:11:43.917330800;true
T5;annisa;50000.0;2025-11-24T13:35:25.510950;true
T6;annisa;50000.0;2025-11-24T14:10:46.908110;true
T7;annisa;20000.0;2025-11-24T14:40:11.577296;true
T8;annisa;20000.0;2025-11-24T15:04:25.926981;true
T9;annisa;20000.0;2025-11-24T16:24:20.323453;true
T10;annisa;20000.0;2025-11-24T16:29:08.128394;true
T11;annisa;6000.0;2025-11-24T16:34:46.950675;true
T12;annisa;5000.0;2025-11-24T17:33:39.581460;true
T13;annisa;20000.0;2025-11-24T17:42:31.167786;true
T14;annisa;1000.0;2025-11-24T17:42:59.673151;true
T15;annisa;1000.0;2025-11-24T17:43:15.088376;true
T16;annisa;5000.0;2025-11-24T19:45:33.525333;true
T17;annisa;20000.0;2025-11-25T01:44:32.074030;true
T18;uliya;20000.0;2025-11-25T01:49:10.060880;true
T19;uliya;20000.0;2025-11-25T01:55:30.271396;true
T20;uliya;40000.0;2025-11-25T02:20:25.825626;true
T21;uliya;50000.0;2025-11-25T03:04:07.558559;true
T22;uliya;40000.0;2025-11-25T03:17:04.337448;true
T23;uliya;12000.0;2025-11-25T03:18:55.349687;true
